,flat_price,rooms,area,living_area,kitchen_area,floor,finishing,deal_type,house_age,wall_material,house_series,house_floors,elevator,latitude,longitude,center_distance
0,23.95,3.0,73.8,45.0,10.0,2.0,Косметический,Свободная продажа,2002.0,Железобетон,П-44Т,17.0,есть,55.672011,37.570878,9.379957819263122
1,14.5,1.0,48.4,20.2,14.6,7.0,Евро,Свободная продажа,2015.0,Монолитный,а-типовой,27.0,есть,55.558641,37.559308,21.839506185048904
2,59.99,3.0,90.0,54.0,15.0,7.0,Отсутствует,Свободная продажа,2020.0,Монолитный,Серия неизвестна,11.0,Неизвестно,55.754279,37.544764,4.588804851954581
3,16.8,2.0,51.0,35.6,8.7,1.0,Косметический,Свободная продажа,1969.0,Кирпичный,"14/14, индивидуальный",14.0,есть,55.684102,37.544432,8.852520353527035
4,14.599,2.0,47.0,29.0,6.5,6.0,Дизайнерский,Свободная продажа,1969.0,Железобетон,1-515-9,9.0,есть,55.63194,37.602633,13.400607910748594
5,34.98,3.0,92.0,76.0,10.0,4.0,Косметический,Свободная продажа,1938.0,Кирпичный,01-пз индивидуальный проект,6.0,есть,55.772229,37.660296,3.4945521412502734
6,37.5,5.0,115.0,75.0,12.0,16.0,Косметический,Свободная продажа,1990.0,Железобетон,П-44,17.0,есть,55.694205,37.498662,9.868548363368882
7,17.0,2.0,56.5,32.24744287268771,11.0,12.0,Косметический,Альтернатива,2021.0,Монолитно-кирпичный,Серия неизвестна,15.0,есть,55.798343,37.765893,10.6334383911137
8,16.2,1.0,32.0,10.9,12.1,9.0,Отсутствует,Свободная продажа,2021.0,Монолитный,Серия неизвестна,11.0,есть,55.793429,37.611509,4.629234785470748
9,18.0,3.0,71.2,43.3,11.7,22.0,Евро,Свободная продажа,2022.0,Монолитный,Серия неизвестна,23.0,Неизвестно,55.710798,37.803892,12.562770596229345
10,8.75,1.0,32.0,20.0,4.0,2.0,Дизайнерский,Свободная продажа,2017.0,Монолитный,Серия неизвестна,5.0,Неизвестно,55.703814,37.640138,5.546369324259907
11,9.5,1.0,26.0,14.0,6.0,5.0,Не известно,Свободная продажа,1973.0,Панельный,1-515-9,9.0,есть,55.717558,37.459415,10.659116476835505
12,27.8,3.0,73.6,50.12529182879378,10.0,15.0,Евро,Свободная продажа,1981.0,Железобетон,П-44,16.0,есть,55.825285,37.626987,8.180136388517884
13,14.5,2.0,37.6,22.5,7.3,7.0,Косметический,Свободная продажа,1963.0,Блочный,ii-18/22,9.0,есть,55.783357,37.672208,4.886705496211222
14,120.0,4.0,122.0,87.0,15.0,2.0,Дизайнерский,Свободная продажа,1917.0,Кирпичный,01-пз индивидуальный проект,4.0,Неизвестно,55.762586,37.597809,1.7188055074394377
15,18.9,2.0,60.0,32.24744287268771,12.0,4.0,Косметический,Свободная продажа,2020.0,Панельный,Серия неизвестна,25.0,Неизвестно,55.776345,37.73686,7.953924265563565
16,19.9,1.0,46.3,21.0,12.0,22.0,Отсутствует,Свободная продажа,2021.0,Монолитный,"14/14, индивидуальный",42.0,есть,55.696179,37.469782,11.18276621157431
17,28.0,3.0,75.5,46.0,10.0,4.0,Косметический,Свободная продажа,2003.0,Панельный,П-44,16.0,есть,55.752252,37.506873,6.961186790380849
18,45.0,2.0,100.0,65.0,12.0,12.0,Требует ремонта,Свободная продажа,2019.0,Монолитный,Серия неизвестна,12.0,есть,55.770836,37.591198,2.6783462538183165
19,55.0,3.0,95.6,50.12529182879378,37.0,5.0,Дизайнерский,Свободная продажа,2018.0,Монолитно-кирпичный,Серия неизвестна,14.0,есть,55.700613,37.633634,5.807728026418995
20,20.0,1.0,44.7,27.0,14.5,30.0,Отсутствует,Свободная продажа,2022.0,Монолитный,Серия неизвестна,35.0,есть,55.81082,37.626268,6.570857419350859
